sector,saudi_male,saudi_female,saudi_total,non_saudi_male,non_saudi_female,non_saudi_total,total_male,total_female,total,saudization_rate
Public administration and defense; compulsory social security,36.8,7.4,27,0.4,0.3,0.4,10.5,5.2,9.7,98.5
Education,9.9,24,13.9,1.5,5.1,1.8,3.8,17.4,6,88.5
Financial and insurance activities,2.3,1.8,2.2,0.6,0.2,0.5,1.1,1.4,1.1,81.5
"Electricity, gas, steam and air conditioning supply",0.9,0.2,0.7,0.2,0,0.2,0.4,0.2,0.4,77.8
Mining and quarrying,2.2,0.5,1.7,0.5,0,0.5,1,0.4,0.9,77.3
Human health and social work activities,5.6,10.1,7.1,2.2,11.4,2.9,3.2,10.5,4.3,71
"Arts, entertainment and recreation",0.3,0.7,0.5,0.3,0.4,0.3,0.3,0.6,0.3,62.5
Real estate activities,0.9,0.6,0.9,0.7,0.1,0.6,0.8,0.5,0.7,60
"Water supply; sewerage, waste management and remediation activities",0.8,0.3,0.6,0.5,0,0.5,0.6,0.3,0.5,54.5
Information and Communication,1.2,1.2,1.2,1.2,0.3,1.1,1.2,0.9,1.1,52.2
Administrative and support service activities,3.6,3.2,3.3,3.3,1.6,3.1,3.3,2.6,3.2,51.6
"Professional, scientific and technical activities",2.1,2.3,2.5,2.7,1,2.6,2.7,2.1,2.6,49
Transportation and storage,4,2.3,3.6,4.2,0.5,4,4.2,1.9,3.8,47.4
Other service activities,2.4,2.8,2.6,3.3,2.2,3.2,3,2.6,3,44.8
Manufacturing,5.9,7.6,6.6,10.9,1.1,10.2,9.5,6.1,9,39.3
Wholesale and retail trade; repair of motor vehicles and motorcycles,8.6,15.7,10.7,19.6,2.4,18.3,16.5,11.4,15.6,36.9
"Agriculture, Forestry and Fishing",2.1,1.1,1.8,3.3,0.2,3.1,3,0.8,2.6,36.7
Accommodation and food service activities,2.8,5.4,3.6,7.8,0.9,7.2,6.3,4,6,33.3
Construction,5.7,9.1,7,16.5,0.9,15.3,13.5,6.9,12.4,31.4
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0,0.4,0.1,19.4,70.9,23.3,14,21.8,15.3,0.4
Activities of extraterritorial organizations and bodies,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0
