Id,Start time,Completion time,Email,Name,Gender / ?????,Age Range / ??????? ???????,What is your highest level of education? / ???? ???? ????? ?????? ?????,What’s your field of study? / ???? ??????,Do you have previous work experience? / ?? ???? ???? ??? ??????,"If yes, then in which main sector? / ??? ??? ?????? ???? ?? ?? ???? ??????
",In which specific sector? / ?? ?? ???? ?????????,How satisfied are you with your current job? / ????? ???? ?? ?????? ????????,Does your job match your skills and qualifications? / ?? ?????? ?????? ?? ??????? ? ????????,How many hours do you work per day? / ??? ????? ????? ???????,Night or day shift? / ????? ??? ?????? ?? ???????,Are your working hours suitable for your lifestyle? / ?? ????? ???? ?????? ?? ??? ??????,Does your company provide training or development opportunities? / ?? ???? ??? ???? ??? ????? ?? ??????,Do you see opportunities for promotion in your job? / ?? ??? ????? ??????? ?? ???????,Do you feel your job is stable long-term? / ?? ???? ?????????? ?? ???? ??? ????? ???????,What 3 factors influence your choice of job the most? / ???? ???? ????? ????? ???? ??? ??????? ??????? ???? ?? ???????? ???? ?????,Which would you choose? / ?? ?? ???????? ?????? ?? ??????,What would make you refuse a job even if the salary is acceptable? / ?? ?? ??? ???????? ?? ????? ???? ????? ??? ?? ???? ??????,Would you consider working in a manufacturing or industrial job? / ?? ???? ?? ????? ?? ???? ????????,What are your concerns about working in industrial/manufacturing jobs? / ?? ?? ?????? ???? ????? ?? ??????? ????????/??????????,Has Saudization improved job opportunities in your sector? / ?? ????? ??????? ??? ????? ??? ????? ?? ??????
6,3/30/2026 11:10,3/30/2026 11:11,anonymous,,Male / ???,18-25,Bachelor’s degree / ?????????,Business Administration / ????? ?????,No,Private / ???,????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;,Yes,Physically demanding / ????? ????? ????;,Yes
7,3/30/2026 11:09,3/30/2026 11:14,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Information Technology-Computer Science / ????? ????????? ?? ???? ??????,Yes,Non-profit organizations / ??????? ????? ?????,Manufacturing / ???????,Slightly dissatisfied / ??? ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,No,Salary / ??????;Work environment / ???? ?????;Career growth / ????? ???????;Social perception of the job / ???? ??????? ?? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Limited career growth / ??? ????? ?????;,"???????? ????? ",Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;,Not sure / ??? ?????
8,3/30/2026 11:17,3/30/2026 11:19,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Information Technology-Computer Science / ????? ????????? ?? ???? ??????,Yes,Private / ???,"Arts, entertainment, and recreation / ??????? ? ??????? ? ???????",Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Work environment / ???? ?????;Salary / ??????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;,???,Not aligned with my education / ?? ?????? ?? ???? ??????;,Not sure / ??? ?????
9,3/30/2026 11:22,3/30/2026 11:28,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,Health-Medical / ?????-????,Yes,Government / ?????,Human health and social work activities / ?????? ????? ??????? ??????? ??????????,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Night / ??????,No,Yes,No,Yes,Salary / ??????;Job stability / ????????? ???????;Transportation / ?????????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,"??? ???? ???? ??? ??? ???? ?? ??????? ????? ?????? ??? ????? ????? ",Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Low salary perception / ???? ??? ?????? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;Social image / ?????? ??????????;,Not sure / ??? ?????
10,3/30/2026 11:24,3/30/2026 11:28,anonymous,,Male / ???,25-34,Bachelor’s degree / ?????????,Accounting ,Yes,Private / ???,Financial and insurance activities / ???????? ??????? ? ?????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Limited career growth / ??? ????? ?????;Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;,Maybe in the future ,Not aligned with my education / ?? ?????? ?? ???? ??????;Long hours / ????? ??? ?????;Safety concerns / ????? ?? ???????;,Not sure / ??? ?????
11,3/30/2026 11:29,3/30/2026 11:32,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Business Administration / ????? ?????,No,Private / ???,Other service activities / ?????? ??????? ??????,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Job stability / ????????? ???????;Social perception of the job / ???? ??????? ?? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,No,Physically demanding / ????? ????? ????;,Yes
12,3/30/2026 11:30,3/30/2026 11:34,anonymous,,Male / ???,25-34,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,Financial and insurance activities / ???????? ??????? ? ?????????,Slightly dissatisfied / ??? ???? ??????,Partially matches / ?????? ??????,Over 10 hours / ???? ?? ?? ?????,Day / ??????,No,Yes,Yes,No,Salary / ??????;Work environment / ???? ?????;Working hours / ??? ????? ?????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,Yes,Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;,Yes
13,3/30/2026 11:34,3/30/2026 11:37,anonymous,,Male / ???,25-34,Master’s degree / ???????,Engineering / ???????,Yes,Private / ???,Other service activities / ?????? ??????? ??????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,No,Salary / ??????;Working hours / ??? ????? ?????;Work environment / ???? ?????;Career growth / ????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,??? ?? ??,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;,Not sure / ??? ?????
14,3/30/2026 11:32,3/30/2026 11:37,anonymous,,Male / ???,25-34,Bachelor’s degree / ?????????,Business Administration / ????? ?????,Yes,Private / ???,???? ????? ? ?????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,Over 10 hours / ???? ?? ?? ?????,Night / ??????,No,No,No,Yes,Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;,???? ??,???? ??;,Not sure / ??? ?????
15,3/30/2026 11:36,3/30/2026 11:39,anonymous,,Male / ???,35-44,Diploma / ?????,Information Technology-Computer Science / ????? ????????? ?? ???? ??????,Yes,Private / ???,?????? ????? ????? ???? ?? ????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,No,Yes,Yes,Salary / ??????;Job stability / ????????? ???????;Work environment / ???? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;,??,Physically demanding / ????? ????? ????;,Yes
